Books_name,Books_Author,Books_Date,Books_Kindle,Books_Hardcover,Books_Pages,Books_Publisher,Books_Language,Books_Rating,Books_Reviews,Books_Dimensions
The Crucible: A Play in Four Acts,Arthur Miller,"Mar 25, 2003",$19.61 ,$4.99 ,,"Penguin Classics (March 25, 2003)",English,4.2 out of 5 stars,613 customer reviews,5.1 x 0.5 x 7.8 inches
The Travelling Cat Chronicles,Hiro Arikawa,"Oct 23, 2018",,$13.52 ,288 pages,"Berkley; Advance Copy edition (October 23, 2018)",English,4.5 out of 5 stars,27 customer reviews,)
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,"Oct 29, 2013",$35.78 ,$29.98 ,,"Bantam; Media Tie In edition (October 29, 2013)",English,4.7 out of 5 stars,"10,086 customer reviews",345535529
There There: A novel,Tommy Orange,"Jun 5, 2018",$17.64 ,$17.64 ,304 pages,"Knopf; First Edition edition (June 5, 2018)",English,4.1 out of 5 stars,281 customer reviews,5.8 x 1.1 x 8.5 inches
The Gruffalo,Julia Donaldson,"Mar 2, 2006",,$5.99 ,,"Puffin Books; Reprint edition (March 2, 2006)",English,4.9 out of 5 stars,"1,572 customer reviews",9.78E+12
The Things They Carried,Tim O'Brien,"Oct 13, 2009",$19.27 ,$8.55 ,,Mariner Books (2009),English,4.4 out of 5 stars,"2,653 customer reviews",5.3 x 0.6 x 8 inches
Fantastic Beasts and Where to Find Them,$ 26 19,,,$23.64 ,160 pages,"Arthur A. Levine Books; Reprint edition (November 7, 2017)",English,4.6 out of 5 stars,230 customer reviews,978-1338216790
Harry Potter: A History of Magic (American Edition),$ 27 98,,,$27.98 ,272 pages,"Arthur A. Levine Books (October 9, 2018)",English,4.5 out of 5 stars,62 customer reviews,978-1338311501
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay (Harry Potter),$ 16 50,,$13.22 ,$16.50 ,304 pages,"Arthur A. Levine Books (November 16, 2018)",English,,,6 x 1.1 x 8.6 inches
Juror #3,James Patterson,"Sep 10, 2018",,$14.89 ,352 pages,"Little, Brown and Company; First Edition edition (September 10, 2018)",English,4.1 out of 5 stars,295 customer reviews,)
I hope this reaches her in time,r.h. Sin,"Nov 19, 2017",$0.97 ,$6.30 ,,"CreateSpace Independent Publishing Platform (November 19, 2017)",English,4.5 out of 5 stars,461 customer reviews,)
Sold on a Monday: A Novel,Kristina McMorris,"Aug 28, 2018",,$10.43 ,,"Sourcebooks Landmark (August 28, 2018)",English,4.3 out of 5 stars,269 customer reviews,5.5 x 0.9 x 8.2 inches
"1,000 Books to Read Before You Die: A Life-Changing List",,"Oct 2, 2018",,$21.68 ,960 pages,"Workman Publishing Company (October 2, 2018)",English,4.0 out of 5 stars,27 customer reviews,)
"Of Blood and Bone: Chronicles of The One, Book 2",Nora Roberts,"Dec 4, 2018",,$20.29 ,464 pages,"St. Martin's Press (December 4, 2018)",English,,,6.1 x 9.2 inches
Beartown: A Novel,Fredrik Backman,"Feb 6, 2018",$14.19 ,$11.99 ,,"Washington Square Press; Reprint edition (February 6, 2018)",English,4.5 out of 5 stars,"2,283 customer reviews",)
The Great American Read: The Book of Books: Explore America's 100 Best-Loved Novels,,"Aug 21, 2018",$19.49 ,$19.49 ,288 pages,"Black Dog & Leventhal; First Edition, First Printing edition (August 21, 2018)",English,4.7 out of 5 stars,18 customer reviews,8.4 x 1 x 10.5 inches
The Noel Stranger (The Noel Collection),Richard Paul Evans,"Nov 6, 2018",$13.51 ,$13.51 ,352 pages,"Simon & Schuster (November 6, 2018)",English,,,5 x 1 x 7 inches
Silly Jokes for Silly Kids. Children's joke book age 5-12,Silly Willy,"Nov 24, 2016",,$5.99 ,,"Willy, Silly (November 24, 2016)",English,4.6 out of 5 stars,281 customer reviews,978-1540619396
Thomas Kinkade Studios: Disney Dreams Collection 2019 Wall Calendar,Thomas Kinkade,"Jun 5, 2018",$9.94 ,$9.94 ,,"Andrews McMeel Publishing (June 5, 2018)",English,4.9 out of 5 stars,29 customer reviews,)
War of the Wolf: A Novel (Saxon Tales),Bernard Cornwell,"Oct 2, 2018",$18.89 ,$18.89 ,352 pages,"Harper (October 2, 2018)",English,4.4 out of 5 stars,87 customer reviews,62563173
Mere Christianity,C. S. Lewis,"Apr 21, 2015",,$8.41 ,,"HarperOne; Revised & Enlarged edition (April 21, 2015)",English,4.7 out of 5 stars,"3,412 customer reviews",5.3 x 0.6 x 8 inches
Milkman: A Novel,Anna Burns,"Dec 11, 2018",$8.38 ,$12.75 ,,"Graywolf Press; Reprint edition (December 11, 2018)",English,3.8 out of 5 stars,13 customer reviews,)
Between the World and Me,Ta-Nehisi Coates,"Jul 14, 2015",$13.59 ,$13.59 ,176 pages,"Spiegel & Grau; 1 edition (July 14, 2015)",English,4.6 out of 5 stars,"3,943 customer reviews",5.1 x 0.8 x 7.5 inches
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,"May 5, 2009",,$9.78 ,,"Dial Press (May 5, 2009)",English,4.7 out of 5 stars,"4,739 customer reviews",5.2 x 0.7 x 8 inches
An Absolutely Remarkable Thing: A Novel,Hank Green,"Sep 25, 2018",$15.60 ,$12.99 ,352 pages,"Dutton; 1st Edition edition (September 25, 2018)",English,4.5 out of 5 stars,154 customer reviews,)
Brave New World,Aldous Huxley,"Oct 17, 2006",$13.55 ,$8.99 ,,"Harper Perennial; Reprint edition (October 18, 2006)",English,4.2 out of 5 stars,"2,841 customer reviews",)
Lilac Girls: A Novel,Martha Hall Kelly,"Feb 28, 2017",$16.96 ,$10.19 ,,"Ballantine Books; Reprint edition (February 28, 2017)",English,4.6 out of 5 stars,"5,421 customer reviews",)
Their Eyes Were Watching God,Zora Neale Hurston,"May 30, 2006",$18.70 ,$14.52 ,,"Harper Perennial Modern Classics; 1 edition (May 30, 2006)",English,4.5 out of 5 stars,"1,448 customer reviews",)
Blood Communion: A Tale of Prince Lestat (Vampire Chronicles),Anne Rice,"Oct 2, 2018",$16.85 ,$16.85 ,272 pages,"Knopf (October 2, 2018)",English,4.3 out of 5 stars,94 customer reviews,1524732648
Sea of Greed (The NUMA Files),Clive Cussler,"Nov 6, 2018",,$18.90 ,416 pages,"G.P. Putnam's Sons (November 6, 2018)",English,,,6.4 x 1.5 x 9.3 inches
In Cold Blood,Truman Capote,"Feb 1, 1994",$22.50 ,$9.88 ,,"Vintage (February 1, 1994)",English,4.5 out of 5 stars,"1,839 customer reviews",679745580
"Bathed in Prayer: Father Tim's Prayers, Sermons, and Reflections from the Mitford Series",Jan Karon,"Oct 30, 2018",$13.52 ,$13.52 ,240 pages,"G.P. Putnam's Sons (October 30, 2018)",English,4.8 out of 5 stars,8 customer reviews,)
Neon Prey (A Prey Novel),John Sandford,"Apr 23, 2019",$26.10 ,$26.10 ,400 pages,"G.P. Putnam's Sons (April 23, 2019)",English,,,6 x 1.2 x 9 inches
Time's Convert: A Novel,Deborah Harkness,"Sep 18, 2018",$20.28 ,$12.32 ,448 pages,"Viking; First Edition edition (September 18, 2018)",English,4.0 out of 5 stars,306 customer reviews,6.4 x 1.4 x 9.3 inches
Frankenstein,,"Oct 21, 1994",,,,Dover Publications; 1 edition (1994),English,4.2 out of 5 stars,"2,679 customer reviews",)
Origin: A Novel (Robert Langdon),Dan Brown,"Jul 17, 2018",$13.99 ,$1.95 ,,"Anchor; Reprint edition (July 17, 2018)",English,4.2 out of 5 stars,"8,558 customer reviews",525563709
Heads You Win: A Novel,Jeffrey Archer,"Nov 6, 2018",$21.98 ,$18.89 ,448 pages,"St. Martin's Press (November 6, 2018)",English,3.4 out of 5 stars,3 customer reviews,)
Oathbringer: Book Three of the Stormlight Archive,Brandon Sanderson,"Oct 30, 2018",$25.73 ,$14.19 ,,"Tor Books; Reprint edition (October 30, 2018)",English,4.6 out of 5 stars,"2,109 customer reviews",6.2 x 2.2 x 9.1 inches
Outlander,Diana Gabaldon,"Jun 2, 1992",$23.62 ,$9.99 ,,"Dell; Reissue edition (June 2, 1992)",English,4.6 out of 5 stars,"19,203 customer reviews",)
A Man Called Ove: A Novel,Fredrik Backman,"May 5, 2015",$14.19 ,$10.60 ,,"Washington Square Press; Reprint edition (May 5, 2015)",English,4.6 out of 5 stars,"16,255 customer reviews",5.3 x 1 x 8.2 inches
Becoming Mrs. Lewis: The Improbable Love Story of Joy Davidman and C. S. Lewis,,"Oct 2, 2018",$21.82 ,$21.82 ,416 pages,"Thomas Nelson (October 2, 2018)",English,4.5 out of 5 stars,93 customer reviews,6.4 x 1.3 x 9.6 inches
Americanah,Chimamanda Ngozi Adichie,"Mar 4, 2014",$19.68 ,$13.38 ,,"Anchor (March 4, 2014)",English,4.5 out of 5 stars,"3,967 customer reviews",5.2 x 1.1 x 8 inches
You Don't Own Me (An Under Suspicion Novel),Mary Higgins Clark,"Nov 6, 2018",$10.29 ,$17.70 ,288 pages,"Simon & Schuster (November 6, 2018)",English,,,6 x 1 x 9 inches
Holes (Holes Series),Louis Sachar,"May 9, 2000",,$6.21 ,,"Yearling (May 9, 2000)",English,4.7 out of 5 stars,"2,416 customer reviews",English
And Then There Were None,Agatha Christie,"Mar 29, 2011",$13.59 ,$4.99 ,,"William Morrow; Reissue edition (March 29, 2011)",English,4.5 out of 5 stars,"2,414 customer reviews",)
The Tuscan Child,Rhys Bowen,"Feb 20, 2018",,$11.99 ,,"Lake Union Publishing (February 20, 2018)",English,4.3 out of 5 stars,"2,474 customer reviews",)
The Power,Naomi Alderman,"Oct 10, 2017",$18.20 ,$18.20 ,400 pages,"Little, Brown and Company; First Edition edition (October 10, 2017)",English,4.0 out of 5 stars,593 customer reviews,)
A FEW Words Of Comfort For The Grieving: The One Year Companion For The Brokenhearted,,"Oct 30, 2018",,,,"FEW International Publications (October 30, 2018)",English,5.0 out of 5 stars,6 customer reviews,7 x 0.6 x 10 inches
Virgil Wander,Leif Enger,"Oct 2, 2018",,$16.20 ,352 pages,"Grove Press; 1st edition (October 2, 2018)",English,4.4 out of 5 stars,105 customer reviews,)
Friday Black,Nana Kwame Adjei-Brenyah,"Oct 23, 2018",$10.39 ,$10.39 ,,"Mariner Books (October 23, 2018)",English,4.3 out of 5 stars,10 customer reviews,)
The Curious Incident of the Dog in the Night-Time,Mark Haddon,"May 18, 2004",,$7.16 ,,"Vintage Contemporaries; 1st edition (May 18, 2004)",English,4.3 out of 5 stars,"3,946 customer reviews",5.2 x 0.7 x 8 inches
Beauchamp Hall: A Novel,Danielle Steel,"Nov 20, 2018",$19.65 ,$19.65 ,288 pages,"Delacorte Press (November 20, 2018)",English,,,)
"Silence: poetry, photos & a f**k ton of feelings.",Camilla Nicole Petyn,"Oct 24, 2018",$16.19 ,$16.19 ,,"CreateSpace Independent Publishing Platform (October 24, 2018)",English,5.0 out of 5 stars,34 customer reviews,)
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,"Apr 1, 2009",,$8.29 ,,"Little, Brown Books for Young Readers; Reprint edition (April 1, 2009)",English,4.6 out of 5 stars,"1,924 customer reviews",9.78E+12
Disappearing Earth: A novel,Julia Phillips,"May 21, 2019",$26.95 ,$26.95 ,304 pages,"Knopf (May 21, 2019)",English,,,)
The Kite Runner,Khaled Hosseini,"Mar 5, 2013",,$11.48 ,,"Riverhead Books; 1 edition (September 26, 2013)",English,4.7 out of 5 stars,"5,994 customer reviews",5.1 x 1 x 8 inches
American Like Me: Reflections on Life Between Cultures,America Ferrera,"Sep 25, 2018",$17.10 ,$12.50 ,336 pages,"Gallery Books (September 25, 2018)",English,4.0 out of 5 stars,17 customer reviews,)
It: A Novel,Stephen King,"Sep 5, 2017",$20.93 ,$14.99 ,,"Scribner; Media Tie-In edition (September 5, 2017)",English,4.5 out of 5 stars,"4,165 customer reviews",)
"Outlander 4-Copy Boxed Set: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn",Diana Gabaldon,"Apr 28, 2015",$27.76 ,$27.76 ,,"Dell; Reissue edition (April 28, 2015)",English,4.7 out of 5 stars,548 customer reviews,1101887486
"The Broken Earth Trilogy: The Fifth Season, The Obelisk Gate, The Stone Sky",N. K. Jemisin,"Oct 2, 2018",$25.33 ,$25.33 ,,"Orbit (October 2, 2018)",English,3.5 out of 5 stars,3 customer reviews,5.6 x 4 x 8.5 inches
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,"Oct 22, 2017",$2.28 ,$6.99 ,,"Independently published (October 22, 2017)",English,3.9 out of 5 stars,802 customer reviews,6 x 0.2 x 9 inches
The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Jun 1, 2014",,$16.50 ,,"North River Press; 30th Anniversary Edition edition (June 1, 2014)",English,4.6 out of 5 stars,"1,438 customer reviews",8.9 x 6 x 1.1 inches
The Screwtape Letters,C. S. Lewis,"Apr 21, 2015",$19.90 ,$10.19 ,,"HarperOne; Reprint edition (April 21, 2015)",English,4.6 out of 5 stars,"2,371 customer reviews",)
The Immortalists,Chloe Benjamin,"Jan 9, 2018",,$12.95 ,352 pages,"G.P. Putnam's Sons; First Edition edition (January 9, 2018)",English,3.9 out of 5 stars,868 customer reviews,)
Harry Potter And The Order Of The Phoenix,J.K. Rowling,"Aug 10, 2004",,$8.99 ,,"Scholastic Paperbacks (September 1, 2004)",English,4.6 out of 5 stars,"6,794 customer reviews",English
The Colors of All the Cattle: No. 1 Ladies' Detective Agency (19) (No. 1 Ladies' Detective Agency Series),Alexander McCall Smith,"Nov 6, 2018",$21.96 ,$17.07 ,240 pages,"Pantheon (November 6, 2018)",English,4.4 out of 5 stars,3 customer reviews,6.4 x 0.9 x 9.5 inches
Pillow Thoughts,Courtney Peppernell,"Aug 29, 2017",,$11.08 ,,"Andrews McMeel Publishing (August 29, 2017)",English,4.4 out of 5 stars,187 customer reviews,)
The House on Mango Street,Sandra Cisneros,"Apr 3, 1991",$20.20 ,$6.90 ,,"Vintage (April 3, 1991)",English,4.1 out of 5 stars,"1,367 customer reviews",5.2 x 0.4 x 8 inches
Macbeth (Folger Shakespeare Library),William Shakespeare,"Jul 1, 2003",$9.99 ,$5.39 ,,"Simon & Schuster; 1 edition (July 1, 2003)",English,4.4 out of 5 stars,"8,984 customer reviews",4.2 x 0.9 x 6.8 inches
Macbeth (Folger Shakespeare Library),William Shakespeare,"Jul 1, 2003",$9.99 ,$5.39 ,,"Simon & Schuster; 1 edition (July 1, 2003)",English,4.4 out of 5 stars,"8,984 customer reviews",4.2 x 0.9 x 6.8 inches
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,"Sep 11, 2001",,$7.39 ,,"Scholastic Paperbacks (October 1, 2001)",English,4.8 out of 5 stars,"27,651 customer reviews",English
Bird Box: A Novel,Josh Malerman,"Feb 10, 2015",,$14.05 ,,"Ecco; Reprint edition (February 10, 2015)",English,4.4 out of 5 stars,"1,539 customer reviews",5.3 x 0.6 x 8 inches
Next Year in Havana,Chanel Cleeton,"Feb 6, 2018",,$11.15 ,,"Berkley (February 6, 2018)",English,4.6 out of 5 stars,405 customer reviews,)
Warlight: A novel,Michael Ondaatje,"May 8, 2018",,$18.32 ,304 pages,"Knopf; First Edition edition (May 8, 2018)",English,3.9 out of 5 stars,347 customer reviews,6 x 1.2 x 8.5 inches
"The Witcher Boxed Set: Blood of Elves, The Time of Contempt, Baptism of Fire",Andrzej Sapkowski,"Oct 3, 2017",$27.19 ,$27.19 ,,"Orbit; Translation edition (October 3, 2017)",English,4.3 out of 5 stars,78 customer reviews,5.8 x 3.3 x 8.8 inches
"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",Gene Kim,"Feb 27, 2018",,$16.32 ,,"IT Revolution Press; 5th Anniversary edition (February 27, 2018)",English,4.7 out of 5 stars,"2,066 customer reviews",)
The Electric State,Simon Stålenhag,"Sep 25, 2018",$21.35 ,$18.12 ,144 pages,"Skybound Books (September 25, 2018)",English,4.8 out of 5 stars,16 customer reviews,)
The Storyteller's Secret: A Novel,Sejal Badani,"Sep 1, 2018",,$10.99 ,,"Lake Union Publishing; Reprint edition (September 1, 2018)",English,4.8 out of 5 stars,"3,243 customer reviews",)
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 20th Anniversary Edition",Mitch Albom,"Oct 8, 2002",,$6.12 ,,"Broadway Books; Anniversary, Reprint edition (October 8, 2002)",English,4.8 out of 5 stars,"3,974 customer reviews",5 x 0.6 x 7.3 inches
The Shining,Stephen King,"Jun 26, 2012",$34.00 ,$6.29 ,,"Anchor; Reissue edition (June 26, 2012)",English,4.7 out of 5 stars,"4,449 customer reviews",4.2 x 1.1 x 6.8 inches
Beloved,Toni Morrison,"Jun 8, 2004",,$9.39 ,,"Vintage; Reprint edition (June 8, 2004)",English,4.2 out of 5 stars,"1,049 customer reviews",)
Beloved,Toni Morrison,"Jun 8, 2004",,$9.39 ,,"Vintage; Reprint edition (June 8, 2004)",English,4.2 out of 5 stars,"1,049 customer reviews",)
The Hobbit,J. R. R. Tolkien,"Sep 18, 2012",,$9.98 ,,"Houghton Mifflin Harcourt (September 18, 2012)",English,4.7 out of 5 stars,"19,207 customer reviews",054792822X
The Walking Dead Volume 30: New World Order,Robert Kirkman,"Sep 11, 2018",,$11.59 ,,"Image Comics (September 11, 2018)",English,4.6 out of 5 stars,15 customer reviews,6.5 x 0.6 x 10 inches
The Odyssey,Homer,"Nov 1, 1997",$12.56 ,$10.36 ,,"Penguin Classics; Reprint edition (November 29, 1999)",English,4.3 out of 5 stars,"4,432 customer reviews",140268863
"The Great Tales of Middle-earth: Children of Húrin, Beren and Lúthien, and The Fall of Gondolin",J.R.R. Tolkien,"Oct 23, 2018",,$46.39 ,928 pages,"Houghton Mifflin Harcourt (October 23, 2018)",English,,,)
"Sing, Unburied, Sing: A Novel",Jesmyn Ward,"May 8, 2018",,$8.31 ,,"Scribner; Reprint edition (May 8, 2018)",English,4.3 out of 5 stars,663 customer reviews,5.2 x 0.6 x 8 inches
Pet Sematary: A Novel,Stephen King,"Jan 31, 2017",$18.30 ,$6.63 ,,"Pocket Books; Reissue edition (January 31, 2017)",English,4.7 out of 5 stars,"4,449 customer reviews",)
Curse of Strahd: A Dungeons & Dragons Sourcebook (D&D Supplement),Wizards RPG Team,"Mar 15, 2016",,$24.66 ,256 pages,"Wizards of the Coast; Har/Map edition (March 15, 2016)",English,4.6 out of 5 stars,249 customer reviews,8.5 x 0.8 x 11.2 inches
The Kiss Quotient,Helen Hoang,"Jun 5, 2018",$38.95 ,$10.40 ,,"Berkley (June 5, 2018)",English,4.6 out of 5 stars,493 customer reviews,)
A Place for Us: A Novel,Fatima Farheen Mirza,"Jun 12, 2018",,$15.94 ,400 pages,"SJP for Hogarth; 1st edition (June 12, 2018)",English,4.4 out of 5 stars,230 customer reviews,)
"Provocations: Collected Essays on Art, Feminism, Politics, Sex, and Education",Camille Paglia,"Oct 9, 2018",$14.77 ,$25.47 ,736 pages,"Pantheon (October 9, 2018)",English,4.4 out of 5 stars,7 customer reviews,6.4 x 1.5 x 9.5 inches
The Woman in Cabin 10,Ruth Ware,"Apr 11, 2017",$15.00 ,$8.80 ,,"Gallery/Scout Press; Reprint edition (April 11, 2017)",English,3.8 out of 5 stars,"4,590 customer reviews",)
Beloved,$ 25 99,,,$3.99 ,,Collectible First Editions; 1st edition (January 1987),,4.2 out of 5 stars,"1,049 customer reviews",
The Bluest Eye (Vintage International),$ 13 46,,$14.00 ,$10.95 ,,"Vintage; Reprint edition (May 8, 2007)",English,4.2 out of 5 stars,"1,234 customer reviews",307278441
Song of Solomon,$ 10 87,,,,,,,,,
